pdb_idx	length	ident	simi
5MYA_B	31	41.935	48.39
5MYB_B	31	41.935	48.39
5N7D_B	12	75.0	83.33
5N7F_B	12	75.0	83.33
5N7G_B	12	75.0	83.33
5NKP_B	18	44.444	61.11
5OYJ_D	19	47.368	57.89000000000001
5SV7_A.fasta	 no output
5T2F_B	29	37.931	55.17
5T2S_C	29	37.931	55.17
5T89_Y	68	23.529	47.06
5UTK_B	14	50.0	71.43
5VXZ_B	27	40.741	51.85
5VYK_C	19	36.842	78.95
5WB7_A.fasta	 no output
5WB8_A.fasta	 no output
5WBU_B	27	48.148	59.26
5WBU_D	53	26.415	41.51
5WBY_B	27	48.148	59.26
5WBY_D	53	26.415	41.51
5XJO_B	76	31.578999999999997	46.05
5XJO_D	8	87.5	87.5
5XJX_B	76	31.578999999999997	46.05
5XJX_D	8	87.5	87.5
5XKJ_B	76	31.578999999999997	46.05
5XKJ_D	8	87.5	87.5
5XKN_B	60	33.333	48.33
5XY9_B	28	32.143	64.29
5YH3_B	29	41.379	51.72
5YH3_D	34	38.235	44.12
5YZ8_B	24	41.667	66.67
5YZV_B	28	32.143	64.29
6A5A_B	32	34.375	53.12
6A5E_B	12	66.667	75.0
6CB0_B	16	56.25	75.0
6D8Z_B	28	39.286	46.43
6DLO_B	40	30.0	47.5
6DLP_B	40	30.0	47.5
6E2P_B	48	31.25	43.75
6E2Q_B	48	31.25	43.75
6EHJ_B	17	41.176	64.71
6FDM_B	26	46.154	61.54
6FDN_B	26	46.154	61.54
6FDO_B	26	46.154	61.54
6FIG_B	26	34.615	50.0
6GCU_D	24	41.667	62.5
6GCU_E	35	31.428999999999995	48.57
6HK6_B	26	46.154	61.54
6I04_B	54	20.37	51.85
6I04_H	13	61.538	69.23
6J6Y_C.fasta	 no output
6J6Y_E	13	61.538	69.23
6LES_B	21	47.619	61.89999999999999
6LF3_B	21	47.619	61.89999999999999
6S6Q_B	32	37.5	56.25
