pdb_idx	length	ident	simi
4HLE_A	22	36.364	68.18
4HQ1_A.fasta	 no output
4HVB_A	22	36.364	68.18
4IEA_A	37	37.838	51.35
4IHL_A	28	32.143	64.29
4IJM_A	24	41.667	66.67
4J0M_A	39	43.59	56.41
4J6I_A	22	36.364	68.18
4JIN_A	23	47.826	56.52
4JPS_A	21	42.857	66.67
4JPS_B	23	47.826	56.52
4JSN_A	27	48.148	59.26
4JSN_C	44	34.091	54.55
4JSP_A	27	48.148	59.26
4JSP_C	44	34.091	54.55
4JSV_A	27	48.148	59.26
4JSV_C	44	34.091	54.55
4JSX_A	27	48.148	59.26
4JSX_C	44	34.091	54.55
4JT5_A	27	48.148	59.26
4JT5_C	44	34.091	54.55
4K3J_A	22	40.909	63.63999999999999
4K3J_B	49	34.694	48.98
4K94_L	21	47.619	57.14
4K9E_L	21	47.619	57.14
4KRO_A	21	38.095	61.89999999999999
4KRP_A	21	38.095	61.89999999999999
4KZ0_A	22	36.364	68.18
4KZC_A	22	36.364	68.18
4L1B_A	51	35.294	49.02
4L1B_B	37	32.432	59.46
4L23_A	51	35.294	49.02
4L23_B	37	32.432	59.46
4L2Y_A	51	35.294	49.02
4L2Y_B	37	32.432	59.46
4LEO_A	13	61.538	69.23
4LEO_C	22	45.455	50.0
4LIQ_E	29	31.034	58.62
4LSA_A	38	39.474	50.0
4LSX_A	38	39.474	50.0
4M4P_A	29	37.931	58.62
4M4R_A	29	37.931	58.62
4M7E_A	38	39.474	50.0
4MN8_A	39	33.333	46.15
4MN8_B	15	60.0	66.67
4MNA_A	39	33.333	46.15
4NKB_A	30	40.0	53.33
4NY0_A	22	45.455	59.09
4O0M_A	24	41.667	58.330000000000005
4O3T_A	22	40.909	63.63999999999999
4O3T_B	48	35.417	50.0
4O3U_A	22	40.909	63.63999999999999
4O3U_B	48	35.417	50.0
4OTP_A	16	56.25	75.0
4P59_A	22	45.455	50.0
4P59_H	13	61.538	69.23
4P7I_A	20	45.0	65.0
4PBV_A	21	38.095	52.38
4PBV_C	27	40.741	55.56
4PBW_A	21	38.095	52.38
4PBW_D	27	40.741	55.56
4PS3_A	22	36.364	68.18
4PS7_A	22	36.364	68.18
4PS8_A	22	36.364	68.18
4PXW_A	23	34.783	65.22
4QT8_A	34	38.235	58.82
4QT8_C	57	31.578999999999997	43.86
4RA0_A	27	40.741	51.85
4RGW_A	34	32.353	47.06
4RGW_B	36	38.889	58.330000000000005
4TL6_A	24	41.667	66.67
4TL7_A	24	41.667	66.67
4TL8_A	24	41.667	66.67
4TL9_A	24	41.667	66.67
4TLA_A	24	41.667	66.67
4TLB_A	24	41.667	66.67
4TLC_A	24	41.667	66.67
4TLD_A	24	41.667	66.67
4TLE_A	24	41.667	66.67
4URK_A	22	36.364	68.18
4UV7_A	21	38.095	61.89999999999999
4WRL_A	29	31.034	58.62
4WRM_A	29	31.034	58.62
4WV1_B	13	61.538	69.23
4XSS_E	25	40.0	56.0
4XST_E	25	40.0	56.0
4XZ0_A	20	45.0	60.0
4XZ1_A	20	45.0	60.0
4XZ4_A	22	36.364	68.18
4YG7_D	15	53.333	73.33
4YZS_A.fasta	 no output
4YZY_A	102	25.49	45.1
4Z32_A	48	31.25	43.75
4Z5W_A	31	35.484	58.06
4Z61_A	31	35.484	58.06
4Z62_A	31	35.484	58.06
4Z63_A	72	30.556	50.0
4Z64_A	72	30.556	50.0
4Z8L_A	28	28.571	57.14
5AJA_A	28	28.571	57.14
5AOQ_A	19	42.105	63.16
5BS0_A	12	58.333	66.67
5BS0_E.fasta	 no output
5CUS_A	22	45.455	50.0
5DFZ_A	39	33.333	48.72
5DFZ_C	16	68.75	68.75
5DFZ_D	22	54.545	59.09
5GIJ_B	55	36.364	45.45
5GQR_B	55	36.364	45.45
5GR8_A	46	36.957	52.17
5GR9_B	55	36.364	45.45
5HYX_B	23	52.174	60.87
5HZ0_B	23	52.174	60.87
5HZ1_B	23	52.174	60.87
5HZ3_B	23	52.174	60.87
5IXD_A	36	33.333	66.67
5IXI_A	36	33.333	66.67
5J3H_E	25	40.0	56.0
5JDA_A	18	50.0	66.67
5JDD_A	23	47.826	56.52
5JDE_A	23	47.826	56.52
5JFI_A	55	36.364	45.45
5JFK_A	55	36.364	45.45
5JJA_A	26	46.154	61.54
5JK7_A	31	41.935	64.52
5JK7_C	28	28.571	57.14
5JWO_A	22	45.455	68.18
5JWQ_A	25	40.0	56.0
5JWR_A	22	45.455	68.18
5K33_A	38	42.105	55.260000000000005
5K33_C	66	28.788	48.48
5K98_A	15	53.333	73.33
5KWG_A	17	41.176	70.59
5KWG_C	66	28.788	48.48
5L04_A	36	33.333	66.67
5LSP_A	20	55.0	60.0
5MY6_A	66	28.788	48.48
5MY9_A	37	37.838	51.35
5MYA_A	31	41.935	48.39
5MYB_A	31	41.935	48.39
5MYC_A	37	37.838	51.35
5N7D_A	12	75.0	83.33
5N7F_A	12	75.0	83.33
5N7G_A	12	75.0	83.33
5NCL_B	20	40.0	55.0
5NCM_A	19	36.842	68.42
5NCN_A	14	64.286	78.57000000000001
5NKP_A	18	44.444	61.11
5NXL_A	28	46.42900000000001	53.57
5NYY_A	28	46.42900000000001	53.57
5O4G_B	13	61.538	69.23
5O4G_C	67	28.358	47.76
5O4O_B	13	61.538	69.23
5O4O_C	22	45.455	50.0
5O7P_B	13	61.538	69.23
5O7P_C	22	45.455	50.0
5OYJ_C	19	47.368	57.89000000000001
5SV7_A.fasta	 no output
5T2F_A	29	37.931	55.17
5T2S_A	29	37.931	55.17
5T89_X	68	23.529	47.06
5U8Q_A	47	31.915	44.68
5U8R_A	47	31.915	44.68
5UFU_C	31	41.935	61.29
5UTK_A	14	50.0	71.43
5VXZ_A	27	40.741	51.85
5VYK_A	19	36.842	78.95
5VZ5_A	12	58.333	66.67
5W21_A	44	34.091	45.45
5W21_B	16	43.75	75.0
5W21_C	19	52.632	68.42
5W59_B	19	52.632	68.42
5WB7_A.fasta	 no output
5WB8_A.fasta	 no output
5WBK_A	24	50.0	62.5
5WBU_A	27	48.148	59.26
5WBU_C	44	34.091	54.55
5WBY_A	27	48.148	59.26
5WBY_C	44	34.091	54.55
5XJO_A	76	31.578999999999997	46.05
5XJO_C	8	87.5	87.5
5XJX_A	76	31.578999999999997	46.05
5XJX_C	8	87.5	87.5
5XKJ_A	76	31.578999999999997	46.05
5XKJ_C	8	87.5	87.5
5XKN_A	60	33.333	48.33
5XWD_A	17	41.176	70.59
5XY9_A	28	32.143	64.29
5Y92_A	17	52.941	70.59
5Y96_A	32	34.375	53.12
5Y96_B	32	34.375	53.12
5YH3_A	29	41.379	51.72
5YH3_C	34	38.235	44.12
5YZ8_A	24	41.667	66.67
5YZV_A	28	32.143	64.29
6A5A_A	32	34.375	53.12
6A5B_A	12	66.667	75.0
6A5C_A	20	45.0	60.0
6A5E_A	12	66.667	75.0
6ARU_A	21	38.095	61.89999999999999
6ATT_A	66	28.788	48.48
6BGT_B	13	61.538	69.23
6BGT_C	103	27.184	33.98
6CB0_A	16	56.25	75.0
6D8Z_A	28	39.286	46.43
6DLO_A	32	43.75	53.12
6DLP_A	32	43.75	53.12
6E2P_A	48	31.25	43.75
6E2Q_A	48	31.25	43.75
6EHJ_A	17	41.176	64.71
6FIG_A	26	34.615	50.0
6FIH_A	20	45.0	60.0
6GCU_A	24	41.667	62.5
6GCU_B	27	33.333	48.15
6HK6_A	26	46.154	61.54
6HL0_A	19	47.368	68.42
6HL1_A	19	47.368	68.42
6I04_A	49	34.694	48.98
6I04_C	13	61.538	69.23
6J6Y_F.fasta	 no output
6J6Y_B	13	61.538	69.23
6J71_A	66	28.788	48.48
6J71_B	26	42.308	50.0
6LES_A	21	47.619	61.89999999999999
6LF3_A	21	47.619	61.89999999999999
6O8B_D	39	33.333	53.85
6QDR_A	37	37.838	51.35
6QDS_A	37	37.838	51.35
6S6Q_A	32	37.5	56.25
6SJM_A	12	58.333	75.0
6T3B_A	22	36.364	68.18
6T6B_A	27	33.333	55.56
6U2H_A	28	32.143	64.29
